time_period,variable,exposure_definition,Fx_control,Fx_exposed,F1_control,F1_exposed,F2_control,F2_exposed,F3_control,F3_exposed,F4_control,F4_exposed
3,not_vaccinated,diagnosed,440565 (99.29),98185 (98.87),63295 (99.48),12673 (99.26),26394 (98.27),5281 (97.71),112701 (98.89),22576 (98.59),359796 (99.29),75648 (98.94)
3,first_only,diagnosed,2906 (0.65),993 (1.00),296 (0.47),80 (0.63),441 (1.64),117 (2.16),1164 (1.02),285 (1.24),2372 (0.65),713 (0.93)
3,first_extra,diagnosed,0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00)
3,complete,diagnosed,257 (0.06),129 (0.13),32 (0.05),15 (0.12),24 (0.09),7 (0.13),102 (0.09),39 (0.17),212 (0.06),101 (0.13)
3,month_infection,diagnosed,2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2)
3,year_infection,diagnosed,2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0)
3,DCCI,diagnosed,1.22 (1.74),1.43 (1.89),1.49 (1.89),1.54 (2.02),1.59 (2.02),1.62 (2.07),1.65 (1.97),1.68 (2.06),1.24 (1.73),1.36 (1.82)
4,N,diagnosed,95357,22638,14480,3016,5334,1108,24092,5079,78317,17643
4,female,diagnosed,58648 (61.50),14589 (64.44),5443 (37.59),1131 (37.50),2658 (49.83),551 (49.73),16499 (68.48),3500 (68.91),52168 (66.61),12104 (68.61)
4,not_vaccinated,diagnosed,81471 (85.44),18897 (83.47),12942 (89.38),2660 (88.20),4557 (85.43),934 (84.30),19835 (82.33),4105 (80.82),66661 (85.12),14707 (83.36)
4,first_only,diagnosed,2266 (2.38),727 (3.21),215 (1.48),65 (2.16),159 (2.98),42 (3.79),696 (2.89),188 (3.70),1866 (2.38),566 (3.21)
4,first_extra,diagnosed,0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00)
4,complete,diagnosed,11620 (12.19),3014 (13.31),1323 (9.14),291 (9.65),618 (11.59),132 (11.91),3561 (14.78),786 (15.48),9790 (12.50),2370 (13.43)
4,month_infection,diagnosed,5 (6),5 (6),4 (5),4 (5),4 (6),5 (6),5 (6),5 (6),5 (6),5 (6)
4,year_infection,diagnosed,2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0)
4,DCCI,diagnosed,0.95 (1.5),1.19 (1.72),1.19 (1.66),1.3 (1.82),1.27 (1.77),1.35 (1.85),1.35 (1.77),1.46 (1.9),0.96 (1.48),1.14 (1.66)
5,N,diagnosed,832235,187321,110334,22205,37958,7626,198047,39860,703868,150211
5,female,diagnosed,526059 (63.21),123962 (66.18),44774 (40.58),8989 (40.48),20539 (54.11),4126 (54.10),139277 (70.33),28043 (70.35),477405 (67.83),104241 (69.40)
5,not_vaccinated,diagnosed,334155 (40.15),74090 (39.55),49970 (45.29),10021 (45.13),14797 (38.98),2962 (38.84),68819 (34.75),13809 (34.64),281216 (39.95),59521 (39.62)
5,first_only,diagnosed,9740 (1.17),2791 (1.49),1990 (1.80),475 (2.14),609 (1.60),143 (1.88),2187 (1.10),538 (1.35),8316 (1.18),2224 (1.48)
5,first_extra,diagnosed,115646 (13.90),27068 (14.45),12360 (11.20),2495 (11.24),5502 (14.49),1108 (14.53),34154 (17.25),6901 (17.31),98085 (13.94),21317 (14.19)
5,complete,diagnosed,372694 (44.78),83372 (44.51),46014 (41.70),9214 (41.50),17050 (44.92),3413 (44.75),92887 (46.90),18612 (46.69),316251 (44.93),67149 (44.70)
5,month_infection,diagnosed,2 (10),2 (10),2 (10),2 (10),2 (9),2 (9),2 (10),2 (10),2 (10),2 (10)
5,year_infection,diagnosed,2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1)
5,DCCI,diagnosed,0.91 (1.43),1.12 (1.62),1.17 (1.63),1.21 (1.73),1.28 (1.74),1.29 (1.78),1.32 (1.73),1.34 (1.78),0.95 (1.43),1.07 (1.56)
1,N,diagnosed and treated,18842,5121,1870,434,1081,247,6254,1470,15963,4127
1,female,diagnosed and treated,11483 (60.94),3390 (66.20),822 (43.96),193 (44.47),621 (57.45),144 (58.30),4027 (64.39),970 (65.99),10227 (64.07),2826 (68.48)
1,month_infection,diagnosed and treated,9 (1),9 (1),9 (1),9 (2),9 (1),9 (1),9 (0),9 (1),9 (1),9 (1)
1,year_infection,diagnosed and treated,2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0)
1,DCCI,diagnosed and treated,0.82 (1.34),1.26 (1.76),1.16 (1.64),1.58 (2.16),1.19 (1.78),1.48 (1.98),1.08 (1.54),1.44 (1.9),0.83 (1.33),1.22 (1.72)
2,N,diagnosed and treated,213314,57301,27022,5441,19500,3914,76430,16200,180941,44226
2,female,diagnosed and treated,131715 (61.75),39534 (68.99),11562 (42.79),2319 (42.62),11318 (58.04),2273 (58.07),53282 (69.71),11555 (71.33),120407 (66.54),31760 (71.81)
2,month_infection,diagnosed and treated,11 (1),11 (1),11 (2),11 (2),11 (1),11 (1),11 (1),11 (1),11 (1),11 (1)
2,year_infection,diagnosed and treated,2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0),2020 (0)
2,DCCI,diagnosed and treated,1.1 (1.59),1.68 (2.09),1.99 (2.12),2.1 (2.32),1.97 (2.16),2.03 (2.27),1.62 (1.91),1.87 (2.22),1.14 (1.61),1.57 (2.02)
3,N,diagnosed and treated,300335,76731,39933,8048,24564,4968,101592,21165,252244,59918
3,female,diagnosed and treated,181621 (60.47),51538 (67.17),15807 (39.58),3178 (39.49),12961 (52.76),2627 (52.88),70433 (69.33),14888 (70.34),164964 (65.40),41981 (70.06)
3,not_vaccinated,diagnosed and treated,298691 (99.45),75921 (98.94),39746 (99.53),7986 (99.23),24274 (98.82),4865 (97.93),100860 (99.28),20903 (98.76),250901 (99.47),59323 (99.01)
3,first_only,diagnosed and treated,1521 (0.51),732 (0.95),177 (0.44),54 (0.67),280 (1.14),96 (1.93),680 (0.67),235 (1.11),1242 (0.49),535 (0.89)
3,first_extra,diagnosed and treated,0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00)
3,complete,diagnosed and treated,123 (0.04),78 (0.10),10 (0.03),8 (0.10),10 (0.04),7 (0.14),52 (0.05),27 (0.13),101 (0.04),60 (0.10)
3,month_infection,diagnosed and treated,2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2)
3,year_infection,diagnosed and treated,2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0)
3,DCCI,diagnosed and treated,1.1 (1.58),1.56 (1.97),1.7 (1.93),1.81 (2.17),1.56 (1.92),1.63 (2.06),1.58 (1.87),1.74 (2.08),1.13 (1.58),1.49 (1.89)
4,N,diagnosed and treated,61983,16322,8311,1795,4723,1006,20439,4555,51628,12870
4,female,diagnosed and treated,38225 (61.67),10925 (66.93),3494 (42.04),763 (42.51),2374 (50.26),513 (50.99),13863 (67.83),3158 (69.33),34093 (66.04),9026 (70.13)
4,not_vaccinated,diagnosed and treated,52930 (85.39),13489 (82.64),7465 (89.82),1583 (88.19),4143 (87.72),862 (85.69),17007 (83.21),3695 (81.12),43931 (85.09),10620 (82.52)
4,first_only,diagnosed and treated,1371 (2.21),524 (3.21),91 (1.09),34 (1.89),106 (2.24),33 (3.28),501 (2.45),160 (3.51),1129 (2.19),407 (3.16)
4,first_extra,diagnosed and treated,0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00),0 (0.00)
4,complete,diagnosed and treated,7682 (12.39),2309 (14.15),755 (9.08),178 (9.92),474 (10.04),111 (11.03),2931 (14.34),700 (15.37),6568 (12.72),1843 (14.32)
4,month_infection,diagnosed and treated,5 (6),5 (6),4 (5),4 (5),4 (6),4 (6),5 (6),5 (6),5 (6),5 (6)
4,year_infection,diagnosed and treated,2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0),2021 (0)
4,DCCI,diagnosed and treated,0.89 (1.38),1.29 (1.76),1.31 (1.63),1.52 (1.91),1.17 (1.63),1.31 (1.81),1.23 (1.63),1.46 (1.89),0.9 (1.37),1.25 (1.73)
5,N,diagnosed and treated,544077,135003,65572,13286,34590,6981,173299,36134,467140,109359
5,female,diagnosed and treated,345333 (63.47),92640 (68.62),29877 (45.56),6038 (45.45),18999 (54.93),3843 (55.05),121041 (69.85),25577 (70.78),314398 (67.30),77820 (71.16)
5,not_vaccinated,diagnosed and treated,207757 (38.19),49441 (36.62),27772 (42.35),5623 (42.32),13325 (38.52),2675 (38.32),59141 (34.13),12226 (33.84),177201 (37.93),40260 (36.81)
5,first_only,diagnosed and treated,6037 (1.11),1777 (1.32),1032 (1.57),257 (1.93),484 (1.40),122 (1.75),1601 (0.92),429 (1.19),5213 (1.12),1463 (1.34)
5,first_extra,diagnosed and treated,80007 (14.71),22109 (16.38),8419 (12.84),1710 (12.87),5073 (14.67),1032 (14.78),30316 (17.49),6487 (17.95),68927 (14.76),17534 (16.03)
5,complete,diagnosed and treated,250276 (46.00),61676 (45.68),28349 (43.23),5696 (42.87),15708 (45.41),3152 (45.15),82241 (47.46),16992 (47.02),215799 (46.20),50102 (45.81)
5,month_infection,diagnosed and treated,2 (10),2 (10),2 (10),2 (10),2 (9),2 (9),2 (10),2 (10),2 (10),2 (10)
5,year_infection,diagnosed and treated,2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1),2022 (1)
5,DCCI,diagnosed and treated,0.87 (1.32),1.26 (1.7),1.38 (1.72),1.46 (1.88),1.27 (1.71),1.3 (1.79),1.25 (1.62),1.39 (1.8),0.9 (1.34),1.21 (1.65)
